AEM.TO,0.812987012987013,0.7971830985915493
AQN.TO,0.8267148014440433,0.8188679245283019
ATD.B.TO,0.7801418439716312,0.7761194029850746
BCE.TO,0.8208955223880597,0.8556701030927835
BMO.TO,0.7959183673469388,0.8297872340425532
BNS.TO,0.8604651162790697,0.8578199052132701
ABX.TO,0.8556149732620321,0.8430232558139535
BHC.TO,0.8345864661654135,0.8563829787234043
BAM.A.TO,0.8306188925081434,0.8295081967213115
BIP.UN.TO,0.8618421052631579,0.8609271523178808
BPY.UN.TO,0.7087378640776699,0.7142857142857143
CCL.B.TO,0.8631921824104235,0.8615916955017301
GIB.A.TO,0.864406779661017,0.8534798534798534
CCO.TO,0.7735849056603774,0.7606837606837606
CAR.UN.TO,0.805668016194332,0.805668016194332
CM.TO,0.8181818181818182,0.8367346938775511
CNR.TO,0.8091872791519434,0.8273381294964028
CNQ.TO,0.7602040816326531,0.776595744680851
CP.TO,0.7986111111111112,0.7985611510791367
CTC.A.TO,0.8558558558558559,0.8481012658227848
WEED.TO,0.676056338028169,0.6716417910447762
CVE.TO,0.7644110275689223,0.7653333333333333
CSU.TO,0.8819444444444444,0.8763636363636363
DOL.TO,0.8658892128279884,0.8662420382165605
EMA.TO,0.8181818181818182,0.803921568627451
ENB.TO,0.8358662613981763,0.8381877022653722
FM.TO,0.6583143507972665,0.6739659367396593
FTS.TO,0.8488888888888889,0.8418604651162791
FNV.TO,0.8873994638069705,0.8793103448275862
WN.TO,0.915057915057915,0.9137254901960784
GIL.TO,0.8364116094986808,0.8268156424581006
IMO.TO,0.7315068493150685,0.7408450704225352
IPL.TO,0.8461538461538461,0.8344827586206897
K.TO,0.7994858611825193,0.7827298050139275
KL.TO,0.7919621749408984,0.7760814249363868
L.TO,0.948339483394834,0.952
MG.TO,0.8,0.7953216374269005
MFC.TO,0.7770491803278688,0.777027027027027
MRU.TO,0.9467680608365019,0.9612403100775194
NA.TO,0.8776978417266187,0.8759124087591241
NTR.TO,0.744807121661721,0.731629392971246
OTEX.TO,0.8260869565217391,0.8243243243243243
PPL.TO,0.8129032258064516,0.8157894736842105
POW.TO,0.8716216216216216,0.8694158075601375
QSR.TO,0.8535031847133758,0.847682119205298
RCI.B.TO,0.7321428571428571,0.7363636363636363
RY.TO,0.8253275109170306,0.8237885462555066
SNC.TO,0.7265822784810126,0.7419354838709677
SAP.TO,0.8057553956834532,0.8076923076923077
SJR.B.TO,0.8106995884773662,0.8347826086956521
SHOP.TO,0.7135922330097088,0.7091836734693877
SLF.TO,0.7821782178217822,0.7808219178082192
SU.TO,0.6991643454038997,0.7068965517241379
TRP.TO,0.815068493150685,0.8194444444444444
TECK.B.TO,0.7463414634146341,0.7350649350649351
T.TO,0.7972350230414746,0.8155339805825242
TRI.TO,0.8225806451612904,0.8204081632653061
TD.TO,0.870722433460076,0.8661417322834646
WCN.TO,0.8538461538461538,0.8515625
WPM.TO,0.723943661971831,0.7048192771084337
      }
    }
  ],
  "categories": {}
}